trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,17,-123.5824080533579,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-100.08375246865666,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-180.47192873309666,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-154.42494323678972,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-80.13278489142371,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-91.22223779210879,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-68.14789408825003,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-24.544227241780423,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-67.71872474661704,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-123.47952754092476,"{0: 21, 1: 11, 2: 0, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,18,0.8953154930190852,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,8,-35.35728656620587,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-59.71654250811109,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,10,-19.29458957519939,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,11,-9.637323174875037,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-3.6488643429486194,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-42.9735968844218,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,2,-29.22827721414773,"{0: 18, 1: 4, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,13,17.39143970635139,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,3,11.251301467570359,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 0}",20,0,-2.2054602150494773,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 0}",20,13,-1.095997770295827,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 0}",20,11,0.7544064786459599,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 0}",20,0,-5.498561340625544,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 0}",30,0,-29.086716079666136,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 0}",20,11,10.540032825160695,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 0}",25,0,11.532939080552088,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 0}",30,7,19.005073523221718,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 0}",25,1,-12.077312758127395,"{0: 16, 1: 8, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 0}",20,7,-19.262106874743285,"{0: 7, 1: 6, 2: 0, 3: 0, 4: 0}",1
