trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.99}",25,0,-86.43258364158795,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.98}",20,0,-56.6839367957427,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.3, 'e': 0.97}",20,0,-122.8328260311877,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.3, 'e': 0.96}",25,0,-68.05233307363241,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.3, 'e': 0.95}",30,0,-50.59641490470483,"{0: 24, 1: 1, 2: 3, 3: 2, 4: 0}",0
6,False,"{'a': 0.3, 'e': 0.94}",30,0,-102.69282323265155,"{0: 16, 1: 5, 2: 9, 3: 0, 4: 0}",0
7,False,"{'a': 0.3, 'e': 0.9299999999999999}",20,3,-44.67816620246296,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 0}",1
8,False,"{'a': 0.3, 'e': 0.9199999999999999}",20,0,-67.9119435822732,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.9099999999999999}",20,0,-97.76797250393562,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.3, 'e': 0.8999999999999999}",30,0,-91.81102648586689,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.3, 'e': 0.8899999999999999}",20,0,-132.85326339765857,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.3, 'e': 0.8799999999999999}",20,14,3.313723805139648,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.3, 'e': 0.8699999999999999}",25,0,-62.05084660545219,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.3, 'e': 0.8599999999999999}",20,0,-41.87066681961849,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.3, 'e': 0.8499999999999999}",35,0,-71.761362392083,"{0: 26, 1: 4, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.3, 'e': 0.8399999999999999}",25,0,-76.7117591813421,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.3, 'e': 0.8299999999999998}",25,3,-42.00371476725588,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.3, 'e': 0.8199999999999998}",35,0,-121.15956927835838,"{0: 20, 1: 7, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.3, 'e': 0.8099999999999998}",20,0,-93.00217769901589,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.3, 'e': 0.7999999999999998}",20,0,-89.46683826274202,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.3, 'e': 0.7899999999999998}",20,0,-79.3041260475533,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
22,False,"{'a': 0.3, 'e': 0.7799999999999998}",30,0,-86.78753495720123,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.3, 'e': 0.7699999999999998}",25,0,-62.498202234931796,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.3, 'e': 0.7599999999999998}",20,0,-80.01263100035776,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.3, 'e': 0.7499999999999998}",25,0,-217.87316722600573,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
26,False,"{'a': 0.3, 'e': 0.7399999999999998}",30,0,-53.91232432686285,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.3, 'e': 0.7299999999999998}",20,0,-63.86591638016913,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 0.3, 'e': 0.7199999999999998}",20,2,-1.8220553837923004,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 0}",1
