trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.280985106917726,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,2,-112.0331332495987,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-143.60627155965219,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-192.97146044024743,"{0: 9, 1: 6, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.77102336023987,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-65.6713849757955,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-55.23883705529737,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,10,-41.684121463022784,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.66160921413228,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.65648135883387,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-106.60874902477187,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.82749440572454,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.149505318108375,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,7,-68.11489313941455,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.57530152975812,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.149385580792,"{0: 10, 1: 4, 2: 8, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.77983857131383,"{0: 13, 1: 5, 2: 10, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.83645442469729,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,2,-65.2679457643321,"{0: 12, 1: 8, 2: 2, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-150.48110836472196,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.19861247731417,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,11,-24.74898181534739,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-89.95737695297782,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-138.95921492685235,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.01845790827959,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.9355867866104,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-165.1142060723019,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.25136136135387,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.23257050667085,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-149.0248769502064,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
